               user_uid               | username  |                        password_hash                         | first_name | last_name | contact_number 
--------------------------------------+-----------+--------------------------------------------------------------+------------+-----------+----------------
 d0a7f883-36fc-4094-9330-7c932381662a | customer  | $2b$10$QU1IB9xEAKzCCmp7BMo9POH4rMXOyqbFzJigI/s5fqvfVLoBocPQC | customer   | customer  |       84508450
 fa9d34a8-78e5-4e3e-a800-e5b56554668e | summer    | $2b$10$QU1IB9xEAKzCCmp7BMo9POH4rMXOyqbFzJigI/s5fqvfVLoBocPQC | Summer     | Season    |       77554433
 cc659a63-df54-4922-80e0-950105c98d29 | autumn    | $2b$10$QU1IB9xEAKzCCmp7BMo9POH4rMXOyqbFzJigI/s5fqvfVLoBocPQC | Autumn     | Season    |       33445566
 f58a8552-cfe6-4669-a098-8d6fd533c157 | manager   | $2b$10$QU1IB9xEAKzCCmp7BMo9POH4rMXOyqbFzJigI/s5fqvfVLoBocPQC | manager    | Lee       |       84508450
 aca97eca-337d-4b0e-b1bc-789f5acdff87 | manager1  | $2b$10$QU1IB9xEAKzCCmp7BMo9POH4rMXOyqbFzJigI/s5fqvfVLoBocPQC | manager    | Zhang     |       84508450
 0b6a7521-788a-4430-9614-9cd379ba9fde | manager2  | $2b$10$QU1IB9xEAKzCCmp7BMo9POH4rMXOyqbFzJigI/s5fqvfVLoBocPQC | manager    | Chen      |       84508450
 b5eacf40-8170-40b3-826b-5d9d00280e31 | xinze     | $2b$10$UZjC3PNlK1IBwZQfeipMkeavQCwG9N53tLpA.OyzV0c591cCNpIKm | xinze      | li        |       87563745
 a4ac8567-f9e8-4baf-957c-d508e674c8ea | lizhi     | $2b$10$ee8SHIdq6xo3e2F2uQe6Y.ysor1A63DtfMxv9Y502QM56.nw6UyKO | lizhi      | zhang     |       98789878
 be00ba64-2752-4f1f-8d97-7ad6046ec361 | jasonvank | $2b$10$AZH.L8s3VcHFdlkhxmmk7OFShRPB/IiFAKm5su6d9IUFvenqF5K0q | jason      | van       |       12345678
 428f1791-1217-47c1-aabe-b6d6acef9476 | changrui  | $2b$10$qRNCRD3ILFYju1L8E2oX/e1/f1BwNcWKmuwDjLA089qo/xmYMkxjG | changrui   | li        |       87899878
 986cf913-b9c7-4d4f-b0c4-66bd231e7f09 | delong    | $2b$10$fAU5IRE.0PJr.ExA1H3vSO0rorCMe8nneLTYJvhtsoNTspCzk4/76 | delong     | xiao      |       87895676
 4b050675-9f76-4f04-95ca-5e34cc0399d7 | zegang    | $2b$10$/DClXmkWt0RFk5/zfOYR..TOC./rTJcVW2aBjt4LmvVqdRgIuuOZ2 | zegang     | zhou      |       98009878
 e86b9b12-1e4a-4df7-9a42-3920b64c23f1 | wangfei   | $2b$10$cRJcVUa6a0IXgOY5evd8w.yoRJ0tdnRowDdXSV31oUzdlVUIY6bPS | fei        | wang      |       98900097
 21a05c46-96cd-40b2-b00a-f7e8960376b3 | tingfeng  | $2b$10$F.QyKMrISjU.gpuktLXwouO6Ef9Ysdh0b4US77zpCL3oadadi7KG2 | tingfeng   | xie       |       98767867
 5c835253-03f5-476f-9121-17ff0d207119 | chenglong | $2b$10$wPV5q0eKswbTH5JUJaCim.ii4bN1iGoiBwuxgrNcIbjnJDT8Arrfi | long       | cheng     |       98098766
 2b11c253-a5c3-4021-aec0-c5772cc8eb1a | zhangjie  | $2b$10$AwOE2Kjy9hOMQYnjSOaPpeu7XnsMpXb3NkY9lrGI3DR1fKC/i7eVC | jie        | zhang     |       88987898
 c3705556-91c1-404f-a056-12de7c482e35 | minyu     | $2b$10$6/uZwQ4bZsvblKztC8ODDurJioLkFVjPxLY/wDrD5jJir2dhXOiJC | minyu      | gao       |       98987656
 49e5527b-5476-40ff-9d06-54de25ac9c7b | chengyu   | $2b$10$X75mSmA6qsNZ671eIxdP9uPMTPzweVdFNsphniDsJVWvtXvoaUVC2 | chengyu    | hua       |       98876787
 91e15db8-37d8-4771-b7aa-3bb1acb32784 | shiyuan   | $2b$10$zRHxUDxdYotYmYJmCchHeOOyqBQRtJKVZRuRIpK26UEg1OpKoX8ve | shiyuan    | shui      |       98780090
 9e4b5fbf-6029-479b-b743-0f7f428da2c2 | linxu     | $2b$10$WOcUySMKc8Zr6bQDSLptRO.JAtqiUIYKTFYKHw7nUgOH4zE4BScpG | xu         | lin       |       98765445
 66cbae09-1692-4ec2-bada-b919b3a54fc0 | shuiyao   | $2b$10$Gnebd3uzFN7XuWSQcgtwKek.XELEeA.0avvPxLLN/uaJTH4EVxrim | yao        | shui      |       98979898
 ca94b41e-8fdb-4b52-bcdd-3f82d8464d45 | jinyao    | $2b$10$Q8cHgJQic53PTkQCGBOjNu.lP6KlZVMbVZWQM1tO/RAme7SZkXSgq | jinyao     | lu        |       89896754
 410fd52f-d2c7-4ffe-820b-47d8e7763857 | hotaru    | $2b$10$QU1IB9xEAKzCCmp7BMo9POH4rMXOyqbFzJigI/s5fqvfVLoBocPQC | Xiong      | Yiliao    |       93698827
 4c56583e-7266-4a5c-96e0-caf682be1865 | ponkllama | $2b$10$QU1IB9xEAKzCCmp7BMo9POH4rMXOyqbFzJigI/s5fqvfVLoBocPQC | Pork       | Song Jon  |       93453455
 0f352beb-bd3e-4653-b36d-00ef559fac42 | foodie    | $2b$10$QU1IB9xEAKzCCmp7BMo9POH4rMXOyqbFzJigI/s5fqvfVLoBocPQC | Love       | Eating    |       91234123
(25 rows)

